id,name,canonicalKey,kind,domain,parentGroup,activeJobs,allJobs
"cmtp6owy12vlpqq4z9pibkork","Entraîneur Netherlands B.V.","ENTRAINEUR_NETHERLANDS_B_V","UNKNOWN","","","0","0"
"cmtp6owgt2ve5qq4zwlgt8sh6","Entraîneur Netherlands B.V. - Taiwan Branch","ENTRAINEUR_NETHERLANDS_B_V_TAIWAN_BRANCH","UNKNOWN","","","0","0"
"cmtp6p85e2zyhqq4z6ir86nqj","Entraîneur Nouvelle-Zélande","ENTRAINEUR_NOUVELLE_ZELANDE","UNKNOWN","","","0","0"
"cmtp6ozff2woxqq4zwe4hj69l","Entraîneur Singapore Pte. Ltd.","ENTRAINEUR_SINGAPORE_PTE_LTD","UNKNOWN","","","0","0"
"cmtlyijan05ykqf5kd1gklb7m","EPHEMERA","EPHEMERA","UNKNOWN","","","28","29"
"cmtkdvvq11s66nf2brixkqyy0","EPICURISME MAG","EPICURISME_MAG","UNKNOWN","","","0","0"
"cmtt936q33vgnmy0193xrdzxy","ERBORIAN","ERBORIAN","UNKNOWN","","L'Occitane Group","1","1"
"cmtk1wuf7000pnv2bt7jfac3t","ERES","ERES","UNKNOWN","eres.fr","","2","2"
"cmtkdvvsi1s76nf2bi5afj7va","Eric Bompard","ERIC_BOMPARD","UNKNOWN","eric-bompard.com","","34","37"
"cmtkdw3hi1uhqnf2b62dz5l8t","ERNEST LEOTY","ERNEST_LEOTY","UNKNOWN","","","0","0"
"cmtke4i4q04wvlp2bovmyapbq","Escada Parfums","ESCADA_PARFUMS","UNKNOWN","escada-fragrances.com","Coty","132","137"
"cmtlyg1rw01dzqf5kg3qi5nht","EssilorLuxottica","ESSILORLUXOTTICA","UNKNOWN","essilorluxottica.com","","7","7"
"cmtpuzklu3yvgl35mnr9elxwo","Estée Lauder","ESTEE_LAUDER","UNKNOWN","","Estee Lauder","117","132"
"cmtkdvuwf1rvenf2bk6p3g02y","Estée Lauder Companies","ESTEE_LAUDER_COMPANIES","UNKNOWN","elcompanies.com","Estée Lauder Companies","408","426"
"cmtpj2gvt14eqpf5lq28crd67","ETA","ETA","UNKNOWN","eta.ch","","44","44"
"cmtk21s720aa5nv2byuid9uwb","Etam","ETAM","UNKNOWN","groupeetam.com","Groupe Etam","251","257"
"cmtkdvy131svtnf2b9xjx7akf","ETERNEL PARISIEN","ETERNEL_PARISIEN","UNKNOWN","","","1","1"
"cmtlyk0vv09n7qf5k812hyz8w","Eurofragrance","EUROFRAGRANCE","UNKNOWN","eurofragance.com","","40","40"
"cmtlykpsc0azhqf5kt8xxoq2x","Everlane","EVERLANE","UNKNOWN","everlane.com","","45","45"
"cmtkdw13q1tq3nf2b0uw3elbs","EXE WORLDWIDE","EXE_WORLDWIDE","UNKNOWN","","","2","2"
"cmtlyhwlw044hqf5k9mgag7ep","f.a.e.","F_A_E","UNKNOWN","","","17","17"
"cmtlyghjc01zzqf5k2a95m27g","Faguo","FAGUO","UNKNOWN","faguo-store.com","","11","11"
"cmtpw96do4k3nl35mii9jtnaj","FAIR FASHION AGENT","FAIR_FASHION_AGENT","UNKNOWN","","","1","1"
"cmtnac1tt2sn8qq5l3jk84cel","FAIR FASHION AGENT INTERNATIONAL","FAIR_FASHION_AGENT_INTERNATIONAL","UNKNOWN","","","0","0"
"creaee87ae5fad291caf0cf46b","Farfetch","FARFETCH","RETAILER","","","52","56"
