Maison,Offres actives,Secteur,Groupe,Site officiel (à remplir)
"Michael Kors Spain, S.L.U.",13,"RETAIL","",""
"DEPECH'MODE",6,"FASHION","",""
"MANGONOR Comércio de Vestuário",12,"RETAIL","",""
"Brothers",12,"RETAIL","",""
"Jules",11,"FASHION","AFM/Mulliez",""
"Swarovski GBS",12,"JEWELRY_WATCHES","",""
"Nike Israel",12,"RETAIL","",""
"Groupe Figaro",12,"RETAIL","",""
"STANLEY/STELLA",10,"RETAIL","",""
"JUNE",12,"RETAIL","",""
"Supergoop!",11,"RETAIL","",""
"Bleu Libellule",11,"RETAIL","",""
"Apivita",11,"BEAUTY","Puig",""
"MNG MANGO IRELAND",11,"FASHION","",""
"PERCASSI",5,"FASHION","",""
"Ysé",11,"RETAIL","",""
"Bego",11,"RETAIL","",""
"MANGO FRANCE, S.A.R.L.",11,"FASHION","",""
"Asphalte",10,"FASHION","",""
"Oh Polly",11,"RETAIL","",""
"Swarovski India Private",11,"JEWELRY_WATCHES","",""
"Alaia",11,"FASHION","Richemont",""
"Bréal",11,"FASHION","Groupe Beaumanoir",""
"Coach Netherlands B.V. - Taiwan Branch",10,"RETAIL","",""
"OLAPLEX",10,"RETAIL","",""
"Coach Vietnam Company",10,"RETAIL","",""
"CONCEPT RECRUTEMENT",4,"FASHION","",""
"Swarovski Int. d'Italia",10,"JEWELRY_WATCHES","",""
"MANGO Polska Sp.z.o.o.",10,"FASHION","",""
"Gianni Versace",10,"RETAIL","",""
"Blend",10,"RETAIL","",""
"HUGO BOSS FRANCE",9,"FASHION","",""
"MANGO MODA D.O.O.",10,"FASHION","",""
"Michael Kors (Italy) srl con socio unico",10,"RETAIL","",""
"MECCA Brands NZ",10,"RETAIL","",""
"MGI Distribucion S. de R.L. de C.V.",10,"RETAIL","",""
"Coach Operations Singapore Pte.",10,"RETAIL","",""
"Qeelin",9,"JEWELRY_WATCHES","Kering",""
"Nike China Holding HK",9,"RETAIL","",""
"NIKE Sourcing (Guangzhou)",9,"RETAIL","",""
"Balmain Beauty",9,"BEAUTY","Estee Lauder",""
"BOCAGE",9,"RETAIL","Groupe Eram",""
"Shinola",9,"RETAIL","",""
"Lagardère Duty Free",9,"OTHER","",""
"Moët & Chandon",9,"LUXURY","",""
"DIDI",9,"RETAIL","",""
"Mateo",9,"RETAIL","",""
"MANGO HUNGARY Kft.",9,"FASHION","",""
"HADDAD BRANDS",9,"RETAIL","",""
"BRIGHT",9,"RETAIL","",""
"Swarovski Cristais Ltda.",9,"JEWELRY_WATCHES","",""
"DECIEM",9,"BEAUTY","Estee Lauder",""
